stem,query_id,regime,specificity,polarity,correct_in_n_runs,decision_unanimous,matched_set_identical,sets
NS-LAT-SLAV-32-001,NS-LAT-SLAV-32-001,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-002,NS-LAT-SLAV-32-002,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-003,NS-LAT-SLAV-32-003,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-004,NS-LAT-SLAV-32-004,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-005,NS-LAT-SLAV-32-005,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-006,NS-LAT-SLAV-32-006,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-007,NS-LAT-SLAV-32-007,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-008,NS-LAT-SLAV-32-008,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-009,NS-LAT-SLAV-32-009,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-010,NS-LAT-SLAV-32-010,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-011,NS-LAT-SLAV-32-011,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-012,NS-LAT-SLAV-32-012,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-013,NS-LAT-SLAV-32-013,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-014,NS-LAT-SLAV-32-014,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-015,NS-LAT-SLAV-32-015,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-016,NS-LAT-SLAV-32-016,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-017,NS-LAT-SLAV-32-017,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-018,NS-LAT-SLAV-32-018,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-019,NS-LAT-SLAV-32-019,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-020,NS-LAT-SLAV-32-020,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-021,NS-LAT-SLAV-32-021,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-022,NS-LAT-SLAV-32-022,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-023,NS-LAT-SLAV-32-023,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-024,NS-LAT-SLAV-32-024,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-025,NS-LAT-SLAV-32-025,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-026,NS-LAT-SLAV-32-026,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-027,NS-LAT-SLAV-32-027,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-028,NS-LAT-SLAV-32-028,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-029,NS-LAT-SLAV-32-029,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-030,NS-LAT-SLAV-32-030,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-031,NS-LAT-SLAV-32-031,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-032,NS-LAT-SLAV-32-032,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-033,NS-LAT-SLAV-32-033,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-034,NS-LAT-SLAV-32-034,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-035,NS-LAT-SLAV-32-035,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-036,NS-LAT-SLAV-32-036,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-037,NS-LAT-SLAV-32-037,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-038,NS-LAT-SLAV-32-038,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-039,NS-LAT-SLAV-32-039,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-040,NS-LAT-SLAV-32-040,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-041,NS-LAT-SLAV-32-041,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-042,NS-LAT-SLAV-32-042,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-043,NS-LAT-SLAV-32-043,ns,3-2,negative,3,True,True,- | - | -
NS-LAT-SLAV-32-044,NS-LAT-SLAV-32-044,ns,3-2,negative,3,True,True,- | - | -
