run,case,regime,specificity,query_id,phrase,ground_truth,gt_rank,top1_name,top1_score,matched_ids,rationale
3.6-flash/medium,multi_match,lat,3-2,S-LAT-SLAV32-038,GUSEV Denis,Denis Vladimirovich GUSEV,2,Denis Igorevich GUSEV,0.9882,"26671,36786",The search phrase 'GUSEV Denis' matches candidates with the first name 'Denis' and last name 'GUSEV' (allowing for name-order variation and middle patronymic names). Both entity 26671 (Denis Igorevich GUSEV) and entity 36786 (Denis Vladimirovich GUSEV) match this search phrase.
3.6-flash/medium,multi_match,lat,3-2,S-LAT-SLAV32-142,VOLFOVICH Aleksandr,Aleksandr Grigorievich VOLFOVICH,1,Aleksandr Grigorievich VOLFOVICH,0.9799,"34976,39784","The search phrase 'VOLFOVICH Aleksandr' matches candidate 34976 (Aleksandr Grigorievich VOLFOVICH) and candidate 39784 (Alexander VOLFOVICH), accounting for standard name-order inversion, middle patronymic inclusion, and common transliteration variations between Aleksandr and Alexander."
3.6-flash/medium,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-029,Ierchov Aleksandr,Aleksandr Sergeyevich ERSHOV,3,Aleksandr ERMAKOV,0.9407,50404,"The search phrase 'Ierchov Aleksandr' corresponds to Aleksandr Sergeyevich ERSHOV (ID 50404), where 'Ierchov' is a transliteration variant of the surname Ershov (Ершов) and 'Aleksandr' matches the first name."
3.6-flash/medium,multi_match,french,3-2,S-RUS-TRANSL-32-FRENCH-038,Gousev Denis,Denis Vladimirovich GUSEV,2,Denis Igorevich GUSEV,0.9808,"26671,36786",The search phrase 'Gousev Denis' matches candidates with the given name Denis and surname Gusev (a common transliteration variant of Gousev). Candidates 26671 (Denis Igorevich GUSEV) and 36786 (Denis Vladimirovich GUSEV) both match these name components. Other candidates either have a different given name or a different surname.
3.6-flash/medium,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-039,Golovanov Viktor,Viktar Hryhoryavich HALAVANAU,19,Viktor Alekseevich KOMANOV,0.9325,9761,"The search phrase 'Golovanov Viktor' matches candidate 9761 ('Viktar Hryhoryavich HALAVANAU'), where 'Viktar' is the Belarusian variant of 'Viktor' and 'HALAVANAU' is the Belarusian transliteration/rendering of the Russian surname 'Golovanov'. None of the other retrieved candidates match the surname Golovanov."
3.6-flash/medium,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-054,Koliouchin Ievgueni,Yevgeny Ivanovich KOLYUSHIN,2,Evgueni KOSTIOUK,0.9356,40119,"The search phrase 'Koliouchin Ievgueni' is a French transliteration variant of Yevgeny Kolyushin, matching candidate 40119 (Yevgeny Ivanovich KOLYUSHIN)."
3.6-flash/medium,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-108,Chevtchenko Iouri,Yuriy Valeryevich SHEVCHENKO,2,Yuriy Valeryevich CHECHIKHIN,0.9129,37733,"The search phrase ""Chevtchenko Iouri"" is a French-style transliteration of the name Yuriy Shevchenko (Surname: Chevtchenko / Shevchenko, Given Name: Iouri / Yuriy). Candidate 37733 (Yuriy Valeryevich SHEVCHENKO) matches this name."
3.6-flash/medium,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-109,Chipoulin Anton,Anton Vladimirovich SHIPULIN,3,Anton THULIN,0.911,35484,"The search phrase 'Chipoulin Anton' matches candidate ID 35484 (Anton Vladimirovich SHIPULIN), where 'Chipoulin' is a standard French transliteration variant of the Russian surname 'Shipulin' (Шипулин) and 'Anton' matches the given name."
3.6-flash/medium,rank1_override,french,3-2,S-RUS-TRANSL-32-FRENCH-112,Choigou Serguei,Sergei Kuzhugetovich SHOIGU,28,Sergei Anatolyevich KOGOGIN,0.9152,35173,"The search phrase 'Choigou Serguei' matches candidate 35173 (Sergei Kuzhugetovich SHOIGU), where 'Choigou' and 'Serguei' are French transliteration variants of the surname 'Shoigu' and given name 'Sergei'."
3.6-flash/medium,multi_match,french,3-2,S-RUS-TRANSL-32-FRENCH-142,Volfovitch Aleksandr,Aleksandr Grigorievich VOLFOVICH,2,Alexander VOLFOVICH,0.9634,"39784,34976","The search phrase 'Volfovitch Aleksandr' matches candidate 39784 (Alexander VOLFOVICH) and candidate 34976 (Aleksandr Grigorievich VOLFOVICH). 'Aleksandr' and 'Alexander' are standard transliteration variants, as are 'Volfovitch' and 'Volfovich'. The name order in the search phrase is inverted (Last, First). Candidate 40494 (Stanislav VOLFOVICH) does not match because the first name differs, and other candidates have different surnames."
3.6-flash/medium,multi_match,icao,3-2,S-RUS-TRANSL-32-ICAO-038,Gusev Denis,Denis Vladimirovich GUSEV,2,Denis Igorevich GUSEV,0.9879,"26671,36786",The search phrase 'Gusev Denis' matches candidates with the given name Denis and family name Gusev. Both Denis Igorevich GUSEV (ID 26671) and Denis Vladimirovich GUSEV (ID 36786) match these name components.
3.6-flash/medium,rank1_override,icao,3-2,S-RUS-TRANSL-32-ICAO-039,Golovanov Viktor,Viktar Hryhoryavich HALAVANAU,19,Viktor Alekseevich KOMANOV,0.9325,9761,"The candidate 'Viktar Hryhoryavich HALAVANAU' (ID 9761) corresponds to 'Viktor Golovanov' using Belarusian transliteration (Viktar = Viktor, Halavanau = Golovanov). None of the other candidates match the surname Golovanov."
3.6-flash/medium,rank1_override,icao,3-2,S-RUS-TRANSL-32-ICAO-115,Sikorskii Artem,Artsiom Igaravich SIKORSKI,9,Artem SAMOYLOV,0.9386,32751,"The candidate 'Artsiom Igaravich SIKORSKI' (entity ID 32751) matches 'Sikorskii Artem'. 'Artsiom' is the Belarusian spelling/transliteration variant of 'Artem', and 'SIKORSKI' is a transliteration variant of 'Sikorskii'."
3.6-flash/medium,multi_match,icao,3-2,S-RUS-TRANSL-32-ICAO-142,Volfovich Aleksandr,Aleksandr Grigorievich VOLFOVICH,2,Alexander VOLFOVICH,0.966,"39784,34976",The search phrase 'Volfovich Aleksandr' matches candidate 39784 ('Alexander VOLFOVICH') and candidate 34976 ('Aleksandr Grigorievich VOLFOVICH') as name-order and transliteration variants of the first name (Aleksandr / Alexander) and last name (Volfovich).
3.6-flash/medium,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-039,Golovanov Viktor Grigorievitch,Viktar Hryhoryavich HALAVANAU,25,Viktor Alekseevich KOMANOV,0.9257,9761,"The search phrase 'Golovanov Viktor Grigorievitch' matches candidate 9761 ('Viktar Hryhoryavich HALAVANAU'), which is the Belarusian transliteration variant of the same name (Viktor/Viktar, Grigorievitch/Hryhoryavich, Golovanov/Halavanau)."
3.6-flash/medium,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-108,Chevtchenko Iouri Valerievitch,Yuriy Valeryevich SHEVCHENKO,2,Yuriy Valeryevich CHECHIKHIN,0.9161,37733,"The search phrase 'Chevtchenko Iouri Valerievitch' matches candidate 37733 ('Yuriy Valeryevich SHEVCHENKO'), where 'Chevtchenko', 'Iouri', and 'Valerievitch' represent standard French transliterated variations of 'Shevchenko', 'Yuriy', and 'Valeryevich'."
3.6-flash/medium,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-109,Chipoulin Anton Vladimirovitch,Anton Vladimirovich SHIPULIN,2,Anton Andreyevich CHEREPENNIKOV,0.9237,35484,The search phrase 'Chipoulin Anton Vladimirovitch' matches candidate 35484 'Anton Vladimirovich SHIPULIN' as 'Chipoulin' is a French transliteration variant of 'Shipulin' and 'Vladimirovitch' is a transliteration variant of 'Vladimirovich'.
3.6-flash/medium,rank1_override,french,3-3,S-RUS-TRANSL-33-FRENCH-112,Choigou Serguei Koujouguetovitch,Sergei Kuzhugetovich SHOIGU,7,Sergei Anatolyevich KOGOGIN,0.9193,35173,"The search phrase 'Choigou Serguei Koujouguetovitch' is a French transliteration variant of candidate 35173, Sergei Kuzhugetovich SHOIGU ('Choigou' = Shoigu, 'Serguei' = Sergei, 'Koujouguetovitch' = Kuzhugetovich)."
3.6-flash/medium,rank1_override,icao,3-3,S-RUS-TRANSL-33-ICAO-039,Golovanov Viktor Grigorevich,Viktar Hryhoryavich HALAVANAU,22,Viktor Alekseevich KOMANOV,0.9288,9761,"The search phrase 'Golovanov Viktor Grigorevich' matches candidate 9761 ('Viktar Hryhoryavich HALAVANAU'), which represents the Belarusian transliteration/spelling variant of the exact same name (Viktar = Viktor, Hryhoryavich = Grigorevich, Halavanau = Golovanov)."
3.6-flash/medium,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-008,Biehlov Oleksandr,Aleksandr Dmitrievich BEGLOV,3,Oleksandr MELNYCHUK,0.9156,35226,"The search phrase 'Biehlov Oleksandr' matches candidate 35226 ('Aleksandr Dmitrievich BEGLOV'), where 'Oleksandr' is the Ukrainian form of 'Aleksandr' and 'Biehlov' is a standard Ukrainian transliteration variant of the surname 'BEGLOV' (Беглов)."
3.6-flash/medium,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-036,Horytskyi Dmytro,Dmitry Yuryevich GORITSKY,2,Dmytro ABAKUMOV,0.9272,36792,"The search phrase 'Horytskyi Dmytro' matches candidate 36792 (Dmitry Yuryevich GORITSKY). 'Horytskyi' is a Ukrainian transliteration variant of the surname 'Goritsky', and 'Dmytro' is the Ukrainian form of the first name 'Dmitry'."
3.6-flash/medium,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-037,Hurulov Andrii,Andrey Viktorovich GURULEV,4,Andrii TELIZHENKO,0.9191,35603,"The search phrase ""Hurulov Andrii"" matches candidate 35603 (Andrey Viktorovich GURULEV), where ""Andrii"" is the Ukrainian form of ""Andrey"" and ""Hurulov"" is a standard Ukrainian transliteration variant of the surname ""Gurulev"" (Гурулёв / Гурульов)."
3.6-flash/medium,multi_match,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-038,Husiev Denys,Denis Vladimirovich GUSEV,4,Denis MAIDANOV,0.9079,"26671,36786","The search phrase 'Husiev Denys' is a name-order variant (Last Name, First Name) and Ukrainian transliteration variant of Denis Gusev ('Denys' for 'Denis' and 'Husiev' for 'Gusev'). Candidates 26671 (Denis Igorevich GUSEV) and 36786 (Denis Vladimirovich GUSEV) both match the primary name components."
3.6-flash/medium,rank1_override,rus_ukr,3-2,S-RUS-UKR-TRANSL-OFFICIAL-32-109,Siechin Ihor,Igor Ivanovich SECHIN,3,Ihor Ihorovych SEMENCHEV,0.9389,16692,The search phrase 'Siechin Ihor' matches Igor Ivanovich SECHIN (ID 16692) using standard Ukrainian name variants and transliterations ('Ihor' for 'Igor' and 'Siechin' for 'Sechin').
